datetime,consumption
2020-01-07 18:00:00,2943.0
2020-01-07 19:00:00,3178.0
2020-01-07 20:00:00,4156.0
2020-01-07 21:00:00,5789.0
2020-01-07 22:00:00,4924.0
2020-01-07 23:00:00,4469.0
2020-01-08 00:00:00,7464.0
2020-01-08 01:00:00,5340.0
2020-01-08 02:00:00,3740.0
2020-01-08 03:00:00,3727.0
2020-01-08 04:00:00,5375.0
2020-01-08 05:00:00,2885.0
2020-01-08 06:00:00,2719.71
2020-01-08 07:00:00,3875.68
2020-01-08 08:00:00,5253.53
2020-01-08 09:00:00,2604.49
2020-01-08 10:00:00,1894.6
2020-01-08 11:00:00,4523.400000000001
2020-01-08 12:00:00,3274.68
2020-01-08 13:00:00,3424.93
2020-01-08 14:00:00,5323.0
2020-01-08 15:00:00,3189.07
2020-01-08 16:00:00,2837.0
2020-01-08 17:00:00,3718.0
2020-01-08 18:00:00,7209.0
2020-01-08 19:00:00,2915.0
2020-01-08 20:00:00,2889.0
2020-01-08 21:00:00,6995.0
2020-01-08 22:00:00,4528.0
2020-01-08 23:00:00,7277.0
2020-01-09 00:00:00,3938.0
2020-01-09 01:00:00,3844.0
2020-01-09 02:00:00,6048.0
2020-01-09 03:00:00,4728.0
2020-01-09 04:00:00,3133.0
2020-01-09 05:00:00,3803.0
2020-01-09 06:00:00,4710.79
2020-01-09 07:00:00,3341.37
2020-01-09 08:00:00,3780.54
2020-01-09 09:00:00,4833.83
2020-01-09 10:00:00,4070.64
2020-01-09 11:00:00,3599.13
2020-01-09 12:00:00,6774.25
2020-01-09 13:00:00,3620.51
2020-01-09 14:00:00,3458.4300000000003
2020-01-09 15:00:00,3325.58
2020-01-09 16:00:00,5903.0
2020-01-09 17:00:00,2768.0
2020-01-09 18:00:00,2776.0
2020-01-09 19:00:00,5365.0
2020-01-09 20:00:00,4982.0
2020-01-09 21:00:00,2666.0
2020-01-09 22:00:00,5590.0
2020-01-09 23:00:00,5154.0
2020-01-10 00:00:00,3892.0
2020-01-10 01:00:00,6735.0
2020-01-10 02:00:00,4403.0
2020-01-10 03:00:00,3008.0
2020-01-10 04:00:00,4037.0
2020-01-10 05:00:00,4303.0
2020-01-10 06:00:00,2533.24
2020-01-10 07:00:00,4434.21
2020-01-10 08:00:00,5691.74
2020-01-10 09:00:00,2496.17
2020-01-10 10:00:00,953.0
2020-01-10 11:00:00,997.83
2020-01-10 12:00:00,1029.69
2020-01-10 13:00:00,2244.36
2020-01-10 14:00:00,1953.71
2020-01-10 15:00:00,7885.8
2020-01-10 16:00:00,1956.0
2020-01-10 17:00:00,1353.0
2020-01-10 18:00:00,892.0
2020-01-10 19:00:00,1256.0
2020-01-10 20:00:00,3473.0
2020-01-10 21:00:00,3205.0
2020-01-10 22:00:00,2301.0
2020-01-10 23:00:00,2526.0
2020-01-11 00:00:00,2315.0
2020-01-11 01:00:00,3827.0
2020-01-11 02:00:00,1721.0
2020-01-11 03:00:00,1501.0
2020-01-11 04:00:00,2623.0
2020-01-11 05:00:00,2268.0
2020-01-11 06:00:00,1952.48
2020-01-11 07:00:00,2574.36
2020-01-11 08:00:00,5593.08
2020-01-11 09:00:00,2683.51
2020-01-11 10:00:00,1452.45
2020-01-11 11:00:00,1057.96
2020-01-11 12:00:00,4931.12
2020-01-11 13:00:00,2159.59
2020-01-11 14:00:00,5011.85
2020-01-11 15:00:00,3668.0
2020-01-11 16:00:00,5736.0
2020-01-11 17:00:00,3989.0
2020-01-11 18:00:00,3743.0
2020-01-11 19:00:00,6470.0
2020-01-11 20:00:00,4549.0
2020-01-11 21:00:00,3498.0
2020-01-11 22:00:00,4502.0
2020-01-11 23:00:00,3973.0
2020-01-12 00:00:00,4500.0
2020-01-12 01:00:00,5023.0
2020-01-12 02:00:00,3329.0
2020-01-12 03:00:00,3209.0
2020-01-12 04:00:00,4379.0
2020-01-12 05:00:00,4100.0
2020-01-12 06:00:00,2976.0
2020-01-12 07:00:00,3689.5
2020-01-12 08:00:00,5515.24
2020-01-12 09:00:00,2816.01
2020-01-12 10:00:00,3289.41
2020-01-12 11:00:00,4462.08
2020-01-12 12:00:00,3312.87
2020-01-12 13:00:00,4563.06
2020-01-12 14:00:00,4440.75
2020-01-12 15:00:00,4696.13
2020-01-12 16:00:00,4717.0
2020-01-12 17:00:00,2973.0
2020-01-12 18:00:00,2606.0
2020-01-12 19:00:00,4675.0
2020-01-12 20:00:00,5753.0
2020-01-12 21:00:00,2923.0
2020-01-12 22:00:00,4163.0
2020-01-12 23:00:00,4690.0
2020-01-13 00:00:00,4119.0
2020-01-13 01:00:00,2906.0
2020-01-13 02:00:00,2926.0
2020-01-13 03:00:00,4836.0
2020-01-13 04:00:00,3966.0
2020-01-13 05:00:00,3089.0
2020-01-13 06:00:00,5883.84
2020-01-13 07:00:00,3833.49
2020-01-13 08:00:00,4897.38
2020-01-13 09:00:00,3424.94
2020-01-13 10:00:00,7259.039999999999
2020-01-13 11:00:00,5181.780000000001
2020-01-13 12:00:00,2351.2799999999997
2020-01-13 13:00:00,3742.49
2020-01-13 14:00:00,5630.54
2020-01-13 15:00:00,2716.7
2020-01-13 16:00:00,2570.0
2020-01-13 17:00:00,2728.0
2020-01-13 18:00:00,5157.0
2020-01-13 19:00:00,2960.0
2020-01-13 20:00:00,2379.0
2020-01-13 21:00:00,4507.0
2020-01-13 22:00:00,4925.0
2020-01-13 23:00:00,4224.0
2020-01-14 00:00:00,6954.0
2020-01-14 01:00:00,3275.0
2020-01-14 02:00:00,2763.0
2020-01-14 03:00:00,4417.0
2020-01-14 04:00:00,3288.0
2020-01-14 05:00:00,2697.0
2020-01-14 06:00:00,4464.33
2020-01-14 07:00:00,7928.21
2020-01-14 08:00:00,2461.7200000000003
2020-01-14 09:00:00,2808.35
2020-01-14 10:00:00,2496.89
2020-01-14 11:00:00,2470.51
2020-01-14 12:00:00,2600.41
2020-01-14 13:00:00,4319.61
2020-01-14 14:00:00,5007.65
2020-01-14 15:00:00,4968.26
2020-01-14 16:00:00,4815.0
2020-01-14 17:00:00,2608.0
2020-01-14 18:00:00,2390.0
2020-01-14 19:00:00,3553.0
2020-01-14 20:00:00,3906.0
2020-01-14 21:00:00,3473.0
2020-01-14 22:00:00,7697.0
2020-01-14 23:00:00,4816.0
2020-01-15 00:00:00,3115.0
2020-01-15 01:00:00,3929.0
2020-01-15 02:00:00,3072.0
2020-01-15 03:00:00,3818.0
2020-01-15 04:00:00,3881.0
2020-01-15 05:00:00,2857.0
2020-01-15 06:00:00,2498.52
2020-01-15 07:00:00,4164.59
2020-01-15 08:00:00,3963.04
2020-01-15 09:00:00,2494.64
2020-01-15 10:00:00,3275.76
2020-01-15 11:00:00,7213.110000000001
2020-01-15 12:00:00,1617.29
2020-01-15 13:00:00,2840.43
2020-01-15 14:00:00,4115.81
2020-01-15 15:00:00,4185.83
2020-01-15 16:00:00,3922.0
2020-01-15 17:00:00,8500.0
2020-01-15 18:00:00,5191.0
2020-01-15 19:00:00,4866.0
2020-01-15 20:00:00,3171.0
2020-01-15 21:00:00,3122.0
2020-01-15 22:00:00,6414.0
2020-01-15 23:00:00,4926.0
2020-01-16 00:00:00,3590.0
2020-01-16 01:00:00,3504.0
2020-01-16 02:00:00,7420.0
2020-01-16 03:00:00,3252.0
2020-01-16 04:00:00,3104.0
2020-01-16 05:00:00,3270.0
2020-01-16 06:00:00,4352.82
2020-01-16 07:00:00,2711.69
2020-01-16 08:00:00,3875.42
2020-01-16 09:00:00,6532.23
2020-01-16 10:00:00,3410.71
2020-01-16 11:00:00,2546.85
2020-01-16 12:00:00,3501.1
2020-01-16 13:00:00,4722.58
2020-01-16 14:00:00,3429.63
2020-01-16 15:00:00,4214.79
2020-01-16 16:00:00,3091.0
2020-01-16 17:00:00,2638.0
2020-01-16 18:00:00,2902.0
2020-01-16 19:00:00,4541.0
2020-01-16 20:00:00,3368.0
2020-01-16 21:00:00,3236.0
2020-01-16 22:00:00,5687.0
2020-01-16 23:00:00,5119.0
2020-01-17 00:00:00,4473.0
2020-01-17 01:00:00,4346.0
2020-01-17 02:00:00,4088.0
2020-01-17 03:00:00,5999.0
2020-01-17 04:00:00,3871.0
2020-01-17 05:00:00,3910.0
2020-01-17 06:00:00,3755.29
2020-01-17 07:00:00,4734.85
2020-01-17 08:00:00,5325.55
2020-01-17 09:00:00,6970.28
2020-01-17 10:00:00,4810.53
2020-01-17 11:00:00,3454.13
2020-01-17 12:00:00,3433.51
2020-01-17 13:00:00,4536.67
2020-01-17 14:00:00,4427.29
2020-01-17 15:00:00,4264.41
2020-01-17 16:00:00,9720.0
2020-01-17 17:00:00,6028.0
2020-01-17 18:00:00,4854.0
